useragents,package,size,useragentlength
"M
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 gonative","['com.zizdara.itqan', 'io.gonative.android.eojbb']",2,189
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 type/siberian.application","['co.totalclub.apps.app56e0e007f3c38', 'zw.co.traverzetravel.app', 'eu.appbeaver.builder.app564b84e03ba4b']",3,206
"Mozilla/5.0 (Linux; MobileApp MobileApp MobileApp MobileApp Android 11; MobileApp MobileApp MobileApp MobileApp Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 /83.0.4103.106 Mobile Safari/537.36;sinbongsa;sinbongsa",['kr.co.gooroo.sinbongsa'],1,274

"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36;ANYLINEAPP","['kr.co.anyline.kid_gschg', 'kr.co.anyline.kid_nobelkids', 'kr.co.anyline.kid_ogreenkids', 'kr.co.anyline.ch_visionchu', 'kr.co.anyline.ch_saenh', 'kr.co.anyline.nt_100selove']",6,191
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36-hnsapp",['com.hnsmall'],1,187
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 chayns/5284 (App; 99156; 72415-11734)",['com.Tobit.android.Slitte7241511734'],1,218

"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 chayns/5178 (App; 37897; 64947-28107)",['com.Tobit.android.Slitte64947281071'],1,218
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 chayns/5284 (App; 115467; 73130-08085)",['com.Tobit.android.Slitte7313008085'],1,219
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36FandomWebView;JSESSIONID=null;","['com.bluemoon.seventeenFandom', 'com.bluemoon.bigbangFandom']",2,210
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 APP_WISHROOM_Android",['www.goldschools.com'],1,201
