useragents,package,size,useragentlength
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201004999.15000000.1)","['com.cga.my.color.note.notepad', 'com.ballblast.cannonbombing.cannonballshooter', 'com.emirates247', 'com.eskisehir.kadhimalsahirwataniat', 'com.Free.Natural.Sounds.Ringtones.Effects.Tropical', 'com.gtp.nextlauncher.theme.colorshow', 'com.kickroyalebattle.fighitnightbattle', 'com.kpophit.nctzen', 'com.maxpayne.pianotilespaulolondra', 'com.muhammadtalha.guessthemall', 'com.pimusic.DadjuSongs', 'com.Turkey.Sounds.Notification.Effects.Music.Ringtones', 'es.las40.tute']",13,223
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Work From Anywhere Android App",['com.indeed.workfromanywhere'],1,211
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36/Worklight/7.0.0.0",['com.kohls.mcommerce.opal'],1,198
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 isMobileApp wfdMobileApp",['com.kronos.dimensions.enterprise'],1,205
Mozilla/5.0 Google hybrid/android brand/none appVersion/1.81.7,['com.kronos.workforceready'],1,62
NikeApp/22.26.0 (prod; 2012212021; Android 11; unknown Android SDK built for x86),['com.nike.omega'],1,81
SNKRS/3.16.1 (prod; 2022062808; Android 11; unknown Android SDK built for x86),['com.nike.snkrs'],1,78
Mozilla/5.0,['com.pandaexpress.app'],1,11
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201004999.8487000.1)","['com.sinyee.babybus.care', 'com.sinyee.babybus.shopping', 'jp.eikomz.dolphinsim']",3,222
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v202006000.202006000.0)","['com.stardust.tarotscope', 'aleksandr.sergeevich.electrosecurity', 'bird.wallpaper.applatip', 'com.cccexamstudy.Iraqclass2pdf', 'com.cocopyapps.lovesticker', 'com.dafengstudio.databasedesigntwondedition', 'com.factinfo.classxmathsncertsolutions', 'com.makeover.homedesign', 'com.sajumedia.bacaandoakristenharian', 'org.cocos2dx.PopStone2', 'uk.co.stefsquared.yugioh']",11,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 TAaApp TARX13 taAppDeviceFeatures=131076 taAppVersion=56 appLang=en_US osName='Android' deviceName=unknown_sdk_phone_x86_Android SDK built for x86 osVer=11 xhdpi normal mcc=310 mnc=260 connection=wifi",['com.tripadvisor.tripadvisor'],1,381
Emb/And/1.0,['com.usps'],1,11
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201004999.11020000.1)","['pdf.tap.scanner', 'com.rezi.alanwalkersong', 'habibiapps.sholawatgusazmi', 'ru.elleriumsoft.e80']",4,223
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201604000.201604000.0)","['accra.free.travelguide', 'com.auroraeffects.reverse.ludo', 'com.reco.nnect', 'com.thekonnected']",4,224
